"COUNTY.CODE","n"
"IN-MH-PU",251
"IN-MH-MS",88
"IN-MH-TH",78
"IN-MH-RG",65
"IN-MH-RT",42
"IN-MH-MC",35
"IN-MH-AM",30
"IN-MH-PG",25
"IN-MH-NG",22
"IN-MH-ST",19
"IN-MH-CH",18
"IN-MH-SN",18
"IN-MH-SI",17
"IN-MH-GO",15
"IN-MH-NS",12
"IN-MH-WR",10
"IN-MH-AK",9
"IN-MH-JG",9
"IN-MH-KO",7
"IN-MH-AU",6
"IN-MH-BH",6
"IN-MH-YA",6
"IN-MH-AH",5
"IN-MH-DH",5
"IN-MH-PA",5
"IN-MH-BU",4
"IN-MH-ND",4
"IN-MH-HI",3
"IN-MH-SO",3
"IN-MH-WS",2
"IN-MH-BI",1
"IN-MH-GA",1
"IN-MH-JN",1
"IN-MH-LA",1
"IN-MH-NB",1
"IN-MH-OS",1
NA,1
