"year","ST_NM","NAME","participants","lists","uniquelists","species"
2020,"NCT of Delhi","Dheerpur Wetland Park (DWP) IN/DL",11,16,7,36
2020,"NCT of Delhi","Ambedkar University Delhi",6,19,7,26
2020,"NCT of Delhi","Hindu College IN/DL",6,25,7,22
2020,"NCT of Delhi","Indian Institute of Technology (IIT), Delhi",6,41,23,38
2020,"Haryana","National Brain Research Centre Manesar IN-HR",5,14,4,75
2020,"NCT of Delhi","Ambedkar University Delhi (AUD), Rohini Campus",5,10,2,25
2020,"Haryana","Amity University, Gurgaon--Herbal Garden",3,23,12,101
2020,"Haryana","Ashoka University",3,9,4,69
2020,"NCT of Delhi","Deen Dayal Upadhyaya College DL/IN",3,3,2,25
2020,"NCT of Delhi","Hansraj College, Delhi, IN/DL",3,12,8,21
2020,"NCT of Delhi","Kalindi College--Delhi",3,3,1,28
2020,"NCT of Delhi","Miranda House Delhi /IN",3,3,1,18
2020,"NCT of Delhi","Acharya Narendra Dev College IN/DL",2,2,1,21
2020,"NCT of Delhi","Gargi College DL/IN",2,2,2,26
2020,"NCT of Delhi","Guru Gobind Singh Indraprastha University",2,2,2,73
2020,"NCT of Delhi","Indraprastha College for Women",2,2,1,25
2020,"Haryana","Aravalli Biodiversity Park, Gurgaon",1,1,1,12
2020,"NCT of Delhi","Ambedkar University Delhi, Karampura Campus",1,1,1,18
2020,"NCT of Delhi","Ambedkar University Delhi, Lodhi Road Campus",1,1,1,16
