"DISTRICT","lists"
"Salem",554
"Coimbatore",348
"Viluppuram",205
"Puducherry",189
"Dharmapuri",156
"Chengalpattu",132
"Virudhunagar",91
"Chennai",78
"Erode",67
"Thiruvallur",61
"The Nilgiris",59
"Nagapattinam",52
"Cuddalore",45
"Madurai",45
"Tiruppur",36
"Ariyalur",35
"Tiruchirappalli",35
"Ramanathapuram",33
"Thanjavur",30
"Thoothukkudi",25
"Sivaganga",22
"Dindigul",20
"Tirunelveli",18
"Pudukkottai",14
"Theni",14
"Kancheepuram",13
"Kanniyakumari",13
"Tiruvannamalai",13
"Ranipet",10
"Karur",9
"Thiruvarur",9
"Vellore",7
"Tenkasi",5
NA,5
"Krishnagiri",4
"Perambalur",4
"Idukki",3
"Tirupathur",3
"Kallakurichi",2
"Namakkal",2
"Karaikal",1
