"state","metric","2021HBC","2022HBC"
"ARUNACHAL PRADESH","participants",1,21
"ARUNACHAL PRADESH","checklists",1,61
"ARUNACHAL PRADESH","unique_checklists",1,41
"ARUNACHAL PRADESH","species",17,244
"ASSAM","participants",7,2
"ASSAM","checklists",21,10
"ASSAM","unique_checklists",15,10
"ASSAM","species",98,57
"BHUTAN","participants",39,23
"BHUTAN","checklists",93,67
"BHUTAN","unique_checklists",89,62
"BHUTAN","species",325,201
"HARYANA","participants",1,6
"HARYANA","checklists",1,13
"HARYANA","unique_checklists",1,6
"HARYANA","species",28,56
"HIMACHAL PRADESH","participants",9,104
"HIMACHAL PRADESH","checklists",18,166
"HIMACHAL PRADESH","unique_checklists",18,164
"HIMACHAL PRADESH","species",108,232
"JAMMU & KASHMIR","participants",15,43
"JAMMU & KASHMIR","checklists",30,176
"JAMMU & KASHMIR","unique_checklists",30,88
"JAMMU & KASHMIR","species",118,199
"LADAKH","participants",5,46
"LADAKH","checklists",11,198
"LADAKH","unique_checklists",11,174
"LADAKH","species",47,103
"NEPAL","participants",9,45
"NEPAL","checklists",24,113
"NEPAL","unique_checklists",22,99
"NEPAL","species",166,208
"PUNJAB","participants",3,7
"PUNJAB","checklists",3,14
"PUNJAB","unique_checklists",3,13
"PUNJAB","species",35,65
"SIKKIM","participants",6,20
"SIKKIM","checklists",6,53
"SIKKIM","unique_checklists",5,45
"SIKKIM","species",124,184
"UTTAR PRADESH","participants",1,2
"UTTAR PRADESH","checklists",1,2
"UTTAR PRADESH","unique_checklists",1,2
"UTTAR PRADESH","species",1,60
"UTTARAKHAND","participants",35,83
"UTTARAKHAND","checklists",76,199
"UTTARAKHAND","unique_checklists",59,160
"UTTARAKHAND","species",245,293
"WEST BENGAL","participants",4,26
"WEST BENGAL","checklists",5,78
"WEST BENGAL","unique_checklists",3,41
"WEST BENGAL","species",74,207
